,결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일,연도,월,요일,주차,주중/주말,배송시작일(date),배송완료일(date),배송기간,배송기간(int)
34214,카드,D-20181009-0000139-02,2018-10-10 오후 6:10,2018-10-19 오전 7:39,39710,1072.0,1,네이버 페이,2018-10-09,2018,10,Tuesday,41,주중,2018-10-10,2018-10-19,9 days,9
34215,카드,D-20181009-0000139-02,2018-10-10 오후 6:10,2018-10-19 오전 7:39,81350,481.0,1,네이버 페이,2018-10-09,2018,10,Tuesday,41,주중,2018-10-10,2018-10-19,9 days,9
34216,카드,D-20181009-0000139-03,2018-10-12 오전 9:00,2018-10-21 오전 2:10,120120,1082.0,1,네이버 페이,2018-10-09,2018,10,Tuesday,41,주중,2018-10-12,2018-10-21,9 days,9
34217,카드,D-20181009-0000139-02,2018-10-10 오후 6:10,2018-10-19 오전 7:39,113520,1083.0,1,네이버 페이,2018-10-09,2018,10,Tuesday,41,주중,2018-10-10,2018-10-19,9 days,9
34355,카드,D-20181010-0000333-01,2018-10-10 오후 6:10,2018-10-19 오전 10:35,101310,441.0,1,네이버 페이,2018-10-10,2018,10,Wednesday,41,주중,2018-10-10,2018-10-19,9 days,9
34449,카드,D-20181010-0000815-01,2018-10-12 오전 9:00,2018-10-20 오전 9:13,56760,447.0,1,네이버 페이,2018-10-10,2018,10,Wednesday,41,주중,2018-10-12,2018-10-20,8 days,8
34450,카드,D-20181010-0000815-02,2018-10-12 오전 9:00,2018-10-21 오전 3:32,118470,1222.0,1,네이버 페이,2018-10-10,2018,10,Wednesday,41,주중,2018-10-12,2018-10-21,9 days,9
34508,실시간계좌이체,D-20181011-0000268-01,2018-10-12 오전 9:00,2018-10-20 오전 10:22,78870,602.0,1,네이버 페이,2018-10-11,2018,10,Thursday,41,주중,2018-10-12,2018-10-20,8 days,8
34551,무통장입금,D-20181011-0000527-01,2018-10-12 오후 5:54,2018-10-21 오전 4:43,99660,1235.0,1,네이버 페이,2018-10-11,2018,10,Thursday,41,주중,2018-10-12,2018-10-21,9 days,9
34565,카드,D-20181011-0000595-01,2018-10-12 오후 5:54,2018-10-21 오전 4:59,78870,603.0,1,네이버 페이,2018-10-11,2018,10,Thursday,41,주중,2018-10-12,2018-10-21,9 days,9
34655,실시간계좌이체,D-20181012-0000253-01,2018-10-12 오후 5:54,2018-10-21 오전 7:49,56760,447.0,1,네이버 페이,2018-10-12,2018,10,Friday,41,주중,2018-10-12,2018-10-21,9 days,9
34676,실시간계좌이체,D-20181012-0000338-01,2018-10-16 오전 9:38,2018-10-24 오전 2:49,157740,603.0,2,네이버 페이,2018-10-12,2018,10,Friday,41,주중,2018-10-16,2018-10-24,8 days,8
34677,카드,D-20181004-0000629-04,2018-10-12 오후 4:49,2018-10-19 오전 1:31,22110,219.0,1,네이버 페이,2018-10-04,2018,10,Thursday,40,주중,2018-10-12,2018-10-19,7 days,7
