Index,Member_ID,Sales_Type,Contract_Type,Channel,Datetime,Term,Payment_Type,Product_Type,Amount_Month,Customer_Type,Age,Address1,Address2,State,Overdue_count,Overdue_Type,Gender,Credit_Rank,Bank
1483,25742561,렌탈,프로모션계약,전단홍보,2019-08-08,60,CMS,DES-1,142200, 사업자,73,서울특별시,서울특별시,계약확정,0,없음,여자,,신한은행
1484,66756520,렌탈,프로모션계약,홈쇼핑/방송,2019-08-27,60,카드이체,DES-1,96900, 개인,47,서울특별시,서울특별시,계약확정,0,없음,여자,2,롯데카드
1485,66759748,렌탈,일반계약,영업방판,2020-01-14,60,카드이체,DES-R4,144900, 개인,47,서울특별시,서울특별시,계약확정,0,없음,여자,5,롯데카드
1486,66758406,렌탈,프로모션계약,영업방판,2020-01-14,60,CMS,DES-1,111900, 개인,57,전라도,전라도,계약확정,0,없음,남자,5,농협회원조합
1487,66758639,렌탈,패키지계약,홈쇼핑/방송,2020-01-14,60,카드이체,DES-1,81900, 개인,59,전라도,전라도,계약확정,0,없음,여자,2,롯데카드
1488,66758639,렌탈,패키지계약,홈쇼핑/방송,2020-01-14,60,카드이체,DES-2,81900, 개인,59,전라도,전라도,계약확정,0,없음,여자,2,롯데카드
1489,66759972,렌탈,패키지계약,홈쇼핑/방송,2020-02-07,60,카드이체,DES-1,81900, 개인,38,경상도,경상도,계약확정,0,없음,남자,3,롯데카드
1490,66759972,렌탈,패키지계약,홈쇼핑/방송,2020-04-14,60,카드이체,DES-2,81900, 개인,38,경상도,경상도,계약확정,0,없음,남자,3,롯데카드
1491,66755880,렌탈,프로모션계약,영업방판,2020-04-14,60,CMS,DES-2,90900, 개인,46,경상도,경상도,계약확정,0,없음,여자,1,대구은행
1492,66759199,렌탈,프로모션계약,영업방판,2020-06-24,60,CMS,DES-2,90900, 개인,46,경상도,경상도,계약확정,0,없음,여자,1,기업은행
1493,25742593,렌탈,패키지계약,홈쇼핑/방송,2020-07-01,60,CMS,DES-1,81900, 사업자,,충청도,충청도,계약확정,0,없음,여자,,국민은행
1494,25742593,렌탈,패키지계약,홈쇼핑/방송,2019-06-26,60,CMS,DES-2,81900, 사업자,,충청도,충청도,계약확정,0,없음,여자,,국민은행
1495,66696799,렌탈,프로모션계약,홈쇼핑/방송,2019-02-12,60,CMS,DES-1,96900, 개인,44,경기도,인천광역시,계약확정,0,없음,여자,2,국민은행
1496,66759092,렌탈,패키지계약,홈쇼핑/방송,2019-02-22,60,카드이체,DES-1,81900, 개인,50,경기도,인천광역시,계약확정,0,없음,여자,3,롯데카드
1497,66759092,렌탈,패키지계약,홈쇼핑/방송,2019-07-03,60,카드이체,DES-2,81900, 개인,50,경기도,인천광역시,계약확정,0,없음,여자,3,롯데카드
1498,66759801,렌탈,패키지계약,홈쇼핑/방송,2019-09-04,60,CMS,DES-1,81900, 개인,54,경기도,경기도,계약확정,0,없음,여자,1,국민은행
1499,66759801,렌탈,패키지계약,홈쇼핑/방송,2019-02-06,60,CMS,DES-2,81900, 개인,54,경기도,경기도,계약확정,0,없음,여자,1,국민은행
1500,66759782,렌탈,프로모션계약,영업방판,2019-06-04,60,CMS,DES-1,105900, 개인,49,경기도,경기도,계약확정,0,없음,여자,2,농협중앙회
1501,66758971,렌탈,일반계약,홈쇼핑/방송,2019-06-21,60,CMS,DES-1,96900, 개인,48,경기도,경기도,계약확정,0,없음,여자,1,신한은행
1502,66758561,렌탈,프로모션계약,영업방판,2020-01-08,60,CMS,DES-1,105900, 개인,61,경기도,경기도,계약확정,0,없음,여자,1,외환은행
