결제수단,배송번호,배송시작일,배송완료일,상품구매금액,상품번호,수량,주문경로,주문일
"쿠폰,무통장입금",D-20180514-0000828-00,2018-05-17 오후 1:29,2018-05-21 오전 5:32,73350,424,1,PC쇼핑몰,20180514
"쿠폰,무통장입금",D-20180514-0000828-00,2018-05-17 오후 1:29,2018-05-21 오전 5:32,0,1159,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000837-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,32930,205,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000837-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,33920,217,1,PC쇼핑몰,20180514
무통장입금,D-20180514-0000837-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,352,1,PC쇼핑몰,20180514
카드,D-20180514-0000841-01,2018-05-17 오후 1:30,2018-05-23 오전 6:36,87430,417,1,네이버 페이,20180514
무통장입금,D-20180514-0000859-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,353,1,모바일웹,20180514
카드,D-20180514-0000861-01,2018-05-16 오전 8:26,2018-05-24 오전 8:57,112510,595,1,네이버 페이,20180514
카드,D-20180514-0000861-02,2018-05-16 오전 8:26,2018-05-24 오전 8:57,86110,594,1,네이버 페이,20180514
"쿠폰,휴대폰",D-20180515-0000012-00,2018-05-17 오후 1:29,2018-05-21 오전 5:32,120600,40,1,PC쇼핑몰,20180515
"쿠폰,휴대폰",D-20180515-0000012-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,122200,94,1,PC쇼핑몰,20180515
"쿠폰,휴대폰",D-20180515-0000012-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,589,1,PC쇼핑몰,20180515
카드,D-20180515-0000024-00,2018-05-17 오후 1:29,2018-05-21 오전 5:32,63240,1091,1,PC쇼핑몰,20180515
카드,D-20180515-0000024-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,61970,455,1,PC쇼핑몰,20180515
카드,D-20180515-0000024-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,357,1,PC쇼핑몰,20180515
카드,D-20180515-0000039-01,2018-05-16 오전 8:26,2018-05-21 오전 8:44,33920,217,1,네이버 페이,20180515
"쿠폰,무통장입금",D-20180515-0000040-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,73850,1077,1,모바일웹,20180515
"쿠폰,무통장입금",D-20180515-0000040-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,1159,1,모바일웹,20180515
무통장입금,D-20180515-0000056-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,45910,1072,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000056-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,85900,46,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000056-02,2018-05-16 오전 8:25,2018-05-20 오전 5:32,170800,451,2,PC쇼핑몰,20180515
무통장입금,D-20180515-0000056-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,582,1,PC쇼핑몰,20180515
휴대폰,D-20180515-0000067-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,122200,94,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000074-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,33920,219,1,모바일웹,20180515
무통장입금,D-20180515-0000074-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,60100,388,1,모바일웹,20180515
무통장입금,D-20180515-0000084-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,97000,440,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000084-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,1159,1,PC쇼핑몰,20180515
카드,D-20180515-0000114-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,33920,219,1,PC쇼핑몰,20180515
카드,D-20180515-0000114-01,2018-05-16 오전 8:25,2018-05-20 오전 5:32,54600,391,1,PC쇼핑몰,20180515
카드,D-20180515-0000114-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,1159,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000128-00,2018-05-17 오후 1:29,2018-05-21 오전 5:32,63240,38,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000128-00,2018-05-17 오후 1:29,2018-05-21 오전 5:32,0,1159,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000135-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,61970,455,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000074-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,1159,1,모바일웹,20180515
휴대폰,D-20180515-0000143-01,2018-05-16 오전 8:26,2018-05-19 오후 10:26,60540,446,1,네이버 페이,20180515
무통장입금,D-20180515-0000152-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,88700,381,1,PC쇼핑몰,20180515
무통장입금,D-20180515-0000152-00,2018-05-16 오전 8:25,2018-05-20 오전 5:32,0,353,1,PC쇼핑몰,20180515
카드,D-20180515-0000165-00,2018-05-16 오후 2:07,2018-05-20 오전 5:32,30840,215,1,모바일웹,20180515
카드,D-20180515-0000175-01,2018-05-17 오후 1:30,2018-05-22 오전 8:54,99200,48,1,네이버 페이,20180515
카드,D-20180515-0000175-03,2018-05-16 오전 8:26,2018-05-22 오전 8:54,120200,388,2,네이버 페이,20180515
